# Каждая запись относится к предыдущему диапазону
# t[N-1] - t[N]
# Algorithm и FAs - из файла MCUFINs.txt
# Формат времени dd.mm.YYYY HH:MM:SS
t	N(W)	Algorithm	FAs
07.08.2022 09:26:23	0.17370540707066282	P+M	211
07.08.2022 13:17:30	0.011958688833553244	P+M	211
07.08.2022 13:22:30	0.014062372798657142	P+M	211
07.08.2022 13:30:21	0.024000667377313486	P+M	205
07.08.2022 13:31:33	0.38784101196318793	P+M	205
07.08.2022 13:34:32	2.2643727817392647	P+M	205
07.08.2022 13:35:56	0.5495225212089851	P+M	205
07.08.2022 13:36:41	0.15679842264683752	P+M	205
07.08.2022 13:39:49	0.029720355445138125	P+M	205
07.08.2022 13:40:49	0.009015130338747797	P+M	205
08.08.2022 09:33:47	0.009307554339945621	P+M	205
08.08.2022 09:35:47	0.007714499594074637	P+M	205
08.08.2022 09:44:47	0.00773807267725526	P+M	205
08.08.2022 09:47:47	0.02085704780634162	P+M	205
08.08.2022 09:52:47	0.14863214958107343	P+M	199
08.08.2022 09:53:47	1.1812481049664376	P+M	199
08.08.2022 09:56:18	1.8824106271977874	P+M	199
08.08.2022 09:57:00	0.6147935335323892	P+M	199
08.08.2022 09:58:09	0.2061185376542446	P+M	199
08.08.2022 13:40:19	0.017975248467993362	P+M	199
08.08.2022 13:44:19	0.020532073603535362	P+M	199
08.08.2022 13:47:57	0.03886216918635583	P+M	199
08.08.2022 13:48:54	0.38184911095823315	P+M	199
08.08.2022 13:49:36	2.8123131363488234	P+M	199
08.08.2022 13:50:37	2.509919731701917	P+M	199
08.08.2022 13:52:22	0.38889047624473116	P+M	199
08.08.2022 13:57:24	0.032522658261929065	P+M	199
09.08.2022 09:52:25	0.017085516315766044	P+M	199
09.08.2022 09:55:25	0.023525518356766906	P+M	199
09.08.2022 10:01:25	0.06135959594888549	P+M	187
09.08.2022 10:02:54	0.7140402872939854	P+M	187
09.08.2022 10:04:48	2.7618421099802397	P+M	187
09.08.2022 10:06:22	0.2778111399157484	P+M	187
09.08.2022 10:12:22	0.02639580405430469	P+M	187
09.08.2022 16:40:21	0.020819434596760288	P+M	187
09.08.2022 16:44:22	0.027327344043960488	P+M	187
09.08.2022 16:47:21	0.1969125572939315	P+M	187
09.08.2022 16:48:22	1.0588561174499218	P+M	187
09.08.2022 16:49:03	1.6237846270681042	P+M	187
09.08.2022 16:49:39	1.5220647614561476	P+M	187
09.08.2022 16:51:14	0.34809553562930867	P+M	187
09.08.2022 16:51:35	0.04429364448433255	P+M	187
09.08.2022 16:53:35	0.019022607994861395	P+M	187
10.08.2022 09:09:35	0.01672063291387498	P+M	187
10.08.2022 09:12:35	0.02500272037483491	P+M	187
10.08.2022 09:15:35	0.03495002990602554	P+M	187
10.08.2022 09:24:02	0.04469862899151861	P+M	181
10.08.2022 09:28:38	0.4666552759495786	P+M	181
10.08.2022 09:30:18	1.472763623548431	P+M	181
10.08.2022 09:30:26	0.939753269292127	P+M	181
10.08.2022 09:30:39	0.7181610656457387	P+M	181
10.08.2022 09:31:29	0.37525231841915274	P+M	181
10.08.2022 09:32:20	0.157231502483421	P+M	181
10.08.2022 09:36:33	0.038572871582442984	P+M	181
10.08.2022 13:11:33	0.024136271208113198	P+M	181
10.08.2022 13:14:33	0.027343000353388554	P+M	181
10.08.2022 13:18:33	0.03107387504543203	P+M	181
10.08.2022 13:24:58	0.015512217936241546	P+M	181
10.08.2022 13:26:15	0.3418762846879891	P+M	181
10.08.2022 13:27:09	1.4369502922082837	P+M	181
10.08.2022 13:28:03	0.5678955057171393	P+M	181
10.08.2022 13:29:08	0.1793480948163288	P+M	181
10.08.2022 13:35:16	0.03708676004116832	P+M	181
10.08.2022 13:36:16	0.005175162803416289	P+M	181
10.08.2022 13:41:36	0.017356387334329364	P+M	181
10.08.2022 13:43:14	0.2540657898338829	P+M	181
10.08.2022 13:58:30	0.009264824846216647	P+M	181
10.08.2022 13:59:30	0.030052449828978377	P+M	181
10.08.2022 14:00:30	0.01785016182012346	P+M	181
10.08.2022 14:01:30	0.010717227088057864	P+M	181
10.08.2022 14:02:30	0.007660724027582862	P+M	181
10.08.2022 14:03:30	0.006168402658670924	P+M	181
10.08.2022 18:22:29	0.006239764535645522	P+M	181
